Read 218 positive samples into dataset
Read 60 negative samples into dataset
Loss for epoch 368 is 4.857852354645729
Loss for epoch 369 is 4.839255467057228
Loss for epoch 370 is 4.820927940309048
Loss for epoch 371 is 4.804547160863876
Loss for epoch 372 is 4.7859936729073524
Loss for epoch 373 is 4.7719589322805405
Loss for epoch 374 is 4.753063410520554
Loss for epoch 375 is 4.737042844295502
Loss for epoch 376 is 4.720630303025246
Loss for epoch 377 is 4.703742705285549
Loss for epoch 378 is 4.686457641422749
Loss for epoch 379 is 4.670562155544758
Loss for epoch 380 is 4.653460830450058
Loss for epoch 381 is 4.637879952788353
Loss for epoch 382 is 4.621160574257374
Loss for epoch 383 is 4.603743635118008
Loss for epoch 384 is 4.589059688150883
Loss for epoch 385 is 4.573077701032162
Loss for epoch 386 is 4.555658847093582
Loss for epoch 387 is 4.540652111172676
Loss for epoch 388 is 4.523887023329735
Loss for epoch 389 is 4.509202651679516
Loss for epoch 390 is 4.49206418544054
Loss for epoch 391 is 4.476926602423191
Loss for epoch 392 is 4.462302327156067
Loss for epoch 393 is 4.445038266479969
Loss for epoch 394 is 4.430543817579746
Loss for epoch 395 is 4.415681339800358
Loss for epoch 396 is 4.4005100056529045
Loss for epoch 397 is 4.384399019181728
Loss for epoch 398 is 4.368362158536911
Loss for epoch 399 is 4.355256408452988
Loss for epoch 400 is 4.339379541575909
Loss for epoch 401 is 4.323898732662201
Loss for epoch 402 is 4.308861710131168
Loss for epoch 403 is 4.294088877737522
Loss for epoch 404 is 4.279969312250614
Loss for epoch 405 is 4.265164092183113
Loss for epoch 406 is 4.249481216073036
Loss for epoch 407 is 4.235336944460869
Loss for epoch 408 is 4.220988646149635
Loss for epoch 409 is 4.204446524381638
Loss for epoch 410 is 4.190568961203098
Loss for epoch 411 is 4.176697127521038
Loss for epoch 412 is 4.161713749170303
Loss for epoch 413 is 4.147544376552105
Loss for epoch 414 is 4.133615352213383
Loss for epoch 415 is 4.118721254169941
Loss for epoch 416 is 4.105279259383678
Loss for epoch 417 is 4.0915567278862
Loss for epoch 418 is 4.076276883482933
Loss for epoch 419 is 4.062599189579487
Loss for epoch 420 is 4.050072655081749
Loss for epoch 421 is 4.0350939482450485
Loss for epoch 422 is 4.021405577659607
Loss for epoch 423 is 4.007791519165039
Loss for epoch 424 is 3.9946168288588524
Loss for epoch 425 is 3.9793654084205627
Loss for epoch 426 is 3.968768946826458
Loss for epoch 427 is 3.9535351917147636
Loss for epoch 428 is 3.9399330094456673
Loss for epoch 429 is 3.926952503621578
Loss for epoch 430 is 3.9131414219737053
Loss for epoch 431 is 3.9005390852689743
Loss for epoch 432 is 3.888020470738411
Loss for epoch 433 is 3.8736080899834633
Loss for epoch 434 is 3.8613171875476837
Loss for epoch 435 is 3.8485036864876747
Loss for epoch 436 is 3.8349739760160446
Loss for epoch 437 is 3.822372980415821
Loss for epoch 438 is 3.810182936489582
Loss for epoch 439 is 3.797220394015312
Loss for epoch 440 is 3.7850189432501793
Loss for epoch 441 is 3.7712719962000847
Loss for epoch 442 is 3.7590936347842216
Loss for epoch 443 is 3.7461130246520042
Loss for epoch 444 is 3.733380079269409
Loss for epoch 445 is 3.722787171602249
Loss for epoch 446 is 3.70856873691082
Loss for epoch 447 is 3.6973112523555756
Loss for epoch 448 is 3.68344709277153
Loss for epoch 449 is 3.672544613480568
Loss for epoch 450 is 3.6613428741693497
Loss for epoch 451 is 3.6474803909659386
Loss for epoch 452 is 3.636292554438114
Loss for epoch 453 is 3.623270407319069
Loss for epoch 454 is 3.611370086669922
Loss for epoch 455 is 3.600992925465107
Loss for epoch 456 is 3.587643913924694
Loss for epoch 457 is 3.575581058859825
Loss for epoch 458 is 3.564216434955597
Loss for epoch 459 is 3.552408069372177
